latitude,longitude,source,frp,fire_id
-22.86,133.81343,MODIS,67.75,e5e0e98fac40ff771bbed3f33b19ff4a
-22.84857,133.8119,MODIS,122.36,413bd509a7bdc9b1bbe5b8057d0a24d6
-21.30316,139.56128,MODIS,353.85,d205e27b965c8d743124f02bf3d985e5
-21.30462,139.55145,MODIS,132.76,c55ae8b6c77d3f87d9ab38aec90d0a4c
-19.05931,138.23071,MODIS,73.33,2ea599cf105694a2ed5b75f80bc92479
-19.05033,138.22926,MODIS,81.01,5df3b8a48fd0807a0b09dfc2baf821f2
-18.20979,137.86896,MODIS,115.2,26d5da263d4db3e0b9bbdd34a886b7cd
-18.18285,137.86465,MODIS,66.1,4a27cd8e75832434a699f6bb980c5cd0
-18.15836,137.70981,MODIS,75.24,f5d4e141cf818afb751adc5c225aafe2
-16.12119,131.32997,MODIS,155.86,674f8c4415d7eeffc1cc54d3027ca6e2
-16.10873,131.32838,MODIS,68.72,18927b78d427de2a0be9ae8e19eb110d
-16.11725,127.27833,MODIS,85.12,885b45754d70ad4f09ebbd8d02e7a4ae
-16.09271,127.35384,MODIS,93.64,ca8df06cbde76cac575d31180e9893ef
-16.09655,127.31465,MODIS,126.1,a1215c8f94981fa637cd337f4ab673d7
-16.1003,127.27641,MODIS,170.6,521290c56923ded33b161b71ef2b875e
-16.07961,127.31313,MODIS,465.29,990e2bc2f2091c4b996b187d9c0f336e
-16.09312,127.3102,MODIS,194.91,d60de8db653fd113a4effaaa791824d9
-16.0971,127.27205,MODIS,145.82,11375e764a69b2ff2214cdeac61e8dce
-16.07619,127.30857,MODIS,412.88,437dc50a223e652b906f604e61d7b922
14.37052,-91.48326,MODIS,54.77,7d7d94cc3f36520cbbc0297eb79100c7
17.89189,-92.48845,MODIS,60.27,c76681078501256463ddab7e6009ce87
17.84307,-93.11951,MODIS,63.44,a346987f7bf00af5a3afb309bc43cfd1
-1.9995,-78.31488,MODIS,63.03,90e63991828faa4bf774015f9a5b3ef8
-2.00426,-78.34631,MODIS,245.87,1fe51fc762490a499927ec20e7da71f0
-1.99015,-78.34129,MODIS,408.52,291101954369862dd7bff0aa41e833a9
-1.99284,-78.35912,MODIS,56.33,76f87dcde7d347fffb043538677cb712
-2.00285,-78.32549,MODIS,123.97,fd98915cf2959f2f3d37dce12569f06a
-2.00643,-78.35078,MODIS,105.52,d8f866c1ba653513c186ae26b4d9089c
-1.98943,-78.32491,MODIS,107.07,0a25ae1140744c441219035a73ba5194
-1.9928,-78.34841,MODIS,357.09,395341d9a55636d66e42875a8d7b5f6f
20.01367,97.03589,MODIS,52.24,2c709eaaf969f7a75998deb79d357267
20.02497,97.03358,MODIS,53.99,c3baa0526955ac0f403c4beb6cf9955e
20.00835,97.03088,MODIS,50.15,425f5318c26af5ff61d2eaf566af4307
10.0611,-64.86967,MODIS,116.21,05a4a1f22b089773d833a671d27218ba
10.06605,-64.87699,MODIS,142.64,44c7273d5353e92a5b9b48ebda17e548
11.19895,103.74519,MODIS,71.55,065d5adc4cdfb40dadeaf51457db0d14
12.76732,105.78189,MODIS,73.19,ff27f2a59acb8f5fae774bcd4baccc1a
13.19318,106.11333,MODIS,63.15,5c8484dc56bebf5047f2e9642512b665
-29.56762,118.26773,MODIS,422.86,352d596e16036522ee9a49de07106aec
-29.56946,118.25637,MODIS,510.55,bc8d01544c5896ec13ed081044666f34
-29.55819,118.26576,MODIS,1013.49,247c2880fc8c24f9327e7cb0ab39402a
-29.56004,118.25438,MODIS,383.1,835ec9cda9a10615e295c3533537baf5
-28.1136,120.92232,MODIS,63.54,6335373f16a1ec4030168d8dd477d776
-20.3264,124.57594,MODIS,528.1,f67e314c14d0426d36fd4d8536db6c36
-20.33488,124.53587,MODIS,181.98,e08430918c522ea05fd6e87efcaf1855
-20.32396,124.56738,MODIS,148.46,3ceff00d2efb0eb9957d2a1f07c71973
-20.1796,124.49033,MODIS,156.3,102119964930efc200d8cdd884474743
-20.17897,124.48546,MODIS,174.64,87dacc5f7194aac4e82bf374a7089441
-19.93834,124.33131,MODIS,210.29,b161715d795c6ab722bc45dc750c3fe1
-19.93512,124.32272,MODIS,191.61,a260a6a6417294129704ae04f48acd84
20.00628,97.01765,MODIS,65.6,0e3e63dcd062fe263b2b8c9c4525d5dd
24.08206,110.89845,MODIS,103.51,371352ea2e371b5ce9e31c7dba0d6ae7
24.08125,110.91402,MODIS,90.14,2c9d904f960f2a73db55f0fe14c92ca5
24.07936,110.89397,MODIS,63.28,2ad854136a1442fd0c0ccfa3ad15bac5
23.24223,100.37489,MODIS,60.67,bcc4ef7f6a76aa7744556eb35120e319
27.19265,102.71465,MODIS,71.27,4f0f7e86db29b1c35f27de5860b13423
26.40302,95.07725,MODIS,734.82,ac0c3f5e130812ef5c6bd0e99b9e3d77
26.39692,95.04731,MODIS,541.63,0a1206926696cc72c51565fcff4a8027
26.40248,95.03988,MODIS,121.83,7c68b7ad04bba741735d0b96c7b87bef
26.52139,95.05824,MODIS,81.1,cca65ce935995b9dfcc7fc79d6d101f4
26.53189,95.07872,MODIS,77.28,8cd8e4f152424a6ab8003a179120ae08
26.52613,95.05111,MODIS,72.07,1f5efffb0d2192b20aafd16fdee2efe5
26.57646,95.22498,MODIS,120.91,d392e6613c3baf955d18691ee6f1e2df
26.57197,95.20322,MODIS,116.38,43eeffd0cb35c2a1af1f522c9f3e8c33
26.59013,95.22253,MODIS,89.16,cff43a0524a8be24ed4071a6084c35d0
