lei_alias,ald_alias,score,lei
greenway as,greenways,0.9636363636363636,549300SZOCQ1770Z5T20
morrisonsro,morrisons,0.9636363636363636,097900BIJ10000172763
mercymedicalcenter inc,mercymedicalcenter,0.9636363636363636,549300EOGE63CO475F54
pennantwalterspywx ltd,pennantwalterspywx,0.9636363636363636,213800MQJ7256T53LD07
renewableenergyventuresgevens ltd,renewableenergyventures ltd,0.9636363636363636,2138007C4GU3CP9WBW55
renewableenergygen ltd,renewableenergygen,0.9636363636363636,213800U2DFIASYBTW302
statkraftsf,statkraft,0.9636363636363636,5967007LIEEXZXGK9K77
windcolebrooksouth llc,windcolebrooksouth,0.9636363636363636,549300NMPEHUPM90MN57
jamaicapublicserviceco ltd,jamaicapublicservice co,0.9638795986622074,549300TBZIX3OF2ZCE19
covantaenergy llc,covantaenergy co,0.9639705882352941,934YIB4NLZNBRI0FAN02
energiaeolica srl,energiaeolica sa,0.9639705882352941,549300JXO0L0QTZZ4H40
hewlettpackardoy,hewlettpackard co,0.9639705882352941,549300RQD5QS21LO8Q92
unionelectric co,unionelectriccomo,0.9639705882352941,QMPJLLDULY5C1M8PNY21
grafegmbhcokg,gracegmbhcokg,0.9641025641025641,5299005BZ90XQKKHA469
sandiegocountywaterauthority,sandiegocountywaterauth,0.9642857142857142,549300Y0QN5OFKA1G520
southernindianagaselectric co,southernindianagaselec co,0.9644137931034482,549300DSU5XJN9OS5G32
algonquinpower co,algonquinpower,0.9647058823529411,549300U14HGDC7PUZF92
amarelamaraskasro,amarelamaraska,0.9647058823529411,3157004VS575F5U6N704
accionaenergia sa,accionaenergia,0.9647058823529411,95980020140005893606
amerenillinois co,amerenillinois,0.9647058823529411,RC71E2BZ6UOMFPDJSE79
coriumtexblatasro,coriumtexblata,0.9647058823529411,315700Z9GPF2KK0JWE14
cityofdentontexas,cityofdentontx,0.9647058823529411,549300UWEY8IKYK09T27
globalfacilitysro,globalfacility,0.9647058823529411,315700BUGZQNDUUQXF92
hutirafveomice as,hutirafveomice,0.9647058823529411,315700H0TJZYOASDDF50
kurkaekozdrojesro,kurkaekozdroje,0.9647058823529411,315700795QTRRD6V2E02
therenewablesinfrastructuregrp ltd,therenewablesinfrastructuregrptrig,0.9647058823529411,213800NO6Q7Q7HMOMT20
titansolarone llc,titansolar llc,0.9647058823529411,9845003691475D8GD377
japanpetroleumexplorationco ltd,japanpetroleumexplorationcoltdjapex,0.9649769585253456,549300WXUNBZ356DMN17
thegerken co,thegreen co,0.9651515151515151,549300JT24Z42TVRIT20
solarstarcaliforniaxiii llc,solarstarcalifornialxxviii llc,0.9651851851851851,549300DOK025NFBHMF94
gclpolyenergyhldgss ltd,gclpolyenergyhldgss,0.9652173913043478,529900O1QCZWP5IWVY66
grupoempresarialfren sa,grupoempresarialence sa,0.9652173913043478,9598002XQKTC8NJQS146
highwoodsproperties inc,highwoodsproperties,0.9652173913043478,ZIIGTYKL9T0X3HLTDX53
infraredcapitalprts ltd,infraredcapitalprts,0.9652173913043478,213800JVPPI7YT2ZYP40
jordacheenterprises inc,jordacheenterprises,0.9652173913043478,549300NNR7E11IRK9Q52
nextenergysolarfund ltd,nextenergysolarfund,0.9652173913043478,213800ZPHCBDDSQH5447
vattenfallwindpower ltd,vattenfallwindpower,0.9652173913043478,5493007UV4620TZQ7C05
vanguardnaturalress inc,vanguardnaturalress llc,0.9652173913043478,549300HXM1EYUIVHD197
zeelandfarmservices inc,zeelandfarmservices,0.9652173913043478,549300HGYP6PON71PL46
sycamoregreen llc,sycamoreenergy llc,0.9653594771241829,254900ZMK0TFW3H7HY45
iberdrolarenovablesandalucia sa,iberdrolarenovablesdeandaluciasau,0.9653665689149561,959800AN4NLNBPFJE162
naturenerrimrockwindenergy llc,naturenerrimrockenergy llc,0.9656410256410256,549300SX5IB56N8Y3G17
